,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
88,80115957,350000.0,3.0,1791.0,3,8.333333333333334,2,16,1,-97.79090881347656,1,78717,2.21,2020-08-26,8,2020
89,29370894,574900.0,4.0,3338.0,4,7.0,2,16,1,-97.86334991455078,1,78726,1.98,2018-03-01,3,2018
90,121658485,374000.0,3.0,2283.0,4,7.0,2,16,1,-97.82636260986328,1,78750,1.98,2019-04-22,4,2019
91,29375978,699900.0,3.0,2997.0,4,8.666666666666666,1,16,1,-97.79793548583984,0,78750,1.98,2019-10-25,10,2019
92,145654939,205000.0,2.0,1225.0,3,3.0,1,13,1,-97.57658386230467,1,78725,1.98,2019-09-20,9,2019
93,29370884,425000.0,3.0,2864.0,5,7.0,1,16,1,-97.8606414794922,1,78726,1.98,2020-09-01,9,2020
94,29351485,425000.0,2.0,1573.0,3,7.0,1,16,1,-97.79362487792967,1,78731,1.98,2019-07-17,7,2019
95,29372475,684000.0,3.0,2656.0,4,9.0,2,16,1,-97.79425048828124,1,78750,1.98,2020-10-05,10,2020
96,185218453,359965.0,3.0,1975.0,4,8.333333333333334,2,16,1,-97.7860107421875,1,78717,2.21,2020-07-15,7,2020
97,29392994,120000.0,2.0,1745.0,4,3.6666666666666665,1,14,1,-97.66173553466795,1,78725,1.98,2018-06-25,6,2018
98,111371253,225000.0,2.0,1375.0,3,2.6666666666666665,1,14,1,-97.66221618652344,1,78660,1.98,2018-10-12,10,2018
99,2088245915,388990.0,3.0,2502.0,4,3.6666666666666665,1,12,1,-97.71595001220705,1,78744,1.98,2018-10-31,10,2018
100,29373974,435000.0,2.0,2313.0,4,8.666666666666666,1,16,1,-97.78577423095705,0,78750,1.98,2018-10-03,10,2018
101,29360984,795000.0,3.0,2700.0,4,7.0,2,17,1,-97.78955841064452,1,78750,1.98,2020-07-10,7,2020
102,241932874,218800.0,2.0,1480.0,3,3.0,1,13,1,-97.58241271972656,1,78725,1.98,2019-05-10,5,2019
103,145551433,200000.0,3.0,1321.0,3,3.0,2,13,1,-97.57323455810548,1,78725,1.98,2019-12-05,12,2019
104,29376473,368500.0,2.0,2267.0,4,8.0,1,15,1,-97.82276916503906,1,78726,1.98,2018-03-27,3,2018
105,305430992,454500.0,3.0,2508.0,3,3.6666666666666665,1,11,2,-97.6419677734375,1,78724,1.98,2020-10-19,10,2020
106,251030246,285000.0,2.0,1791.0,3,3.6666666666666665,1,12,1,-97.6442642211914,1,78660,1.98,2020-07-02,7,2020
107,29347484,799000.0,7.0,4491.0,5,7.0,2,16,1,-97.83723449707033,1,78730,1.98,2019-06-21,6,2019
108,69811366,199000.0,2.0,1268.0,3,3.0,1,13,1,-97.5913543701172,1,78725,1.98,2020-02-11,2,2020
109,116080950,622800.0,3.0,2903.0,3,7.666666666666668,1,14,1,-97.7927703857422,1,78717,2.21,2018-12-31,12,2018
110,29370873,429000.0,4.0,3033.0,4,7.0,2,16,1,-97.86214447021484,1,78726,1.98,2020-01-22,1,2020
111,83814991,259900.0,3.0,2573.0,3,3.6666666666666665,2,11,2,-97.62621307373048,1,78724,1.98,2019-03-13,3,2019
112,29375973,629000.0,3.0,2340.0,4,8.666666666666666,2,16,1,-97.7947235107422,0,78750,1.98,2020-10-22,10,2020
113,116080945,525000.0,3.0,3187.0,4,7.666666666666668,2,14,1,-97.7937240600586,1,78717,2.21,2019-02-20,2,2019
114,29370860,345000.0,4.0,3675.0,5,7.0,2,16,1,-97.86241912841795,1,78726,1.98,2020-11-17,11,2020
115,249890717,255000.0,2.0,1641.0,3,3.0,1,13,1,-97.6354522705078,1,78725,1.98,2020-03-30,3,2020
