,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
11041,69809173,209900.0,2.0,1429.0,3,4.333333333333333,1,12,2,-97.61438751220705,1,78754,1.98,2019-03-14,3,2019
11042,69809158,250000.0,3.0,2088.0,4,4.333333333333333,2,12,2,-97.61508178710938,1,78754,1.98,2019-10-14,10,2019
11047,145652497,359000.0,4.0,2856.0,4,5.0,2,11,2,-97.61466217041016,1,78754,1.98,2019-06-21,6,2019
11052,124839097,249000.0,2.0,1670.0,3,5.0,1,11,2,-97.62097930908205,1,78754,1.98,2019-03-29,3,2019
11056,60134569,215000.0,2.0,1485.0,3,5.0,1,11,2,-97.6094207763672,1,78754,1.98,2019-01-25,1,2019
11058,70354557,235000.0,3.0,2088.0,4,4.333333333333333,2,12,2,-97.61383056640624,1,78754,1.98,2019-12-12,12,2019
11061,145653553,359900.0,4.0,2941.0,4,5.0,2,11,2,-97.6150360107422,1,78754,1.98,2019-08-30,8,2019
11065,2086122546,234900.0,2.0,1420.0,3,5.0,1,11,2,-97.60497283935548,1,78754,1.98,2019-02-20,2,2019
11066,70354544,218900.0,3.0,1856.0,3,4.333333333333333,2,12,2,-97.61497497558594,1,78754,1.98,2019-10-07,10,2019
11070,60134537,250000.0,3.0,2086.0,3,5.0,2,11,2,-97.6104507446289,1,78754,1.98,2019-12-12,12,2019
11072,70354536,200000.0,2.0,1215.0,3,4.333333333333333,1,12,2,-97.6159896850586,1,78754,1.98,2019-11-15,11,2019
11073,70354533,233300.0,3.0,2160.0,3,4.333333333333333,2,12,2,-97.61241912841795,1,78754,1.98,2019-02-10,2,2019
11077,80098520,224900.0,3.0,1810.0,3,4.333333333333333,2,12,2,-97.61375427246094,1,78754,1.98,2019-04-11,4,2019
11080,60134504,244900.0,3.0,2810.0,4,5.0,2,11,2,-97.61162567138672,1,78754,1.98,2019-01-08,1,2019
11082,59792502,274900.0,3.0,2986.0,4,5.0,2,11,2,-97.60963439941406,1,78754,1.98,2019-05-08,5,2019
11083,29399477,390000.0,1.0,1118.0,2,7.333333333333332,1,15,1,-97.7174835205078,1,78751,1.98,2019-11-06,11,2019
11086,83125473,695000.0,3.0,2012.0,3,6.666666666666668,2,15,1,-97.70142364501952,1,78723,1.98,2019-11-01,11,2019
11087,29401973,400000.0,2.0,1080.0,3,5.0,1,15,1,-97.69735717773438,1,78723,1.98,2019-04-24,4,2019
11089,29406469,598400.0,2.0,1642.0,3,6.333333333333332,1,16,1,-97.72151184082033,1,78751,1.98,2019-05-02,5,2019
11091,29401967,359000.0,1.0,953.0,3,5.0,1,15,1,-97.69811248779295,1,78723,1.98,2019-12-16,12,2019
11095,80090452,455000.0,3.0,1335.0,3,6.666666666666668,2,15,1,-97.70338439941406,1,78723,1.98,2019-10-07,10,2019
11101,29406937,389900.0,2.0,1152.0,3,3.0,1,14,1,-97.69782257080078,1,78723,1.98,2019-04-15,4,2019
11106,29405428,389900.0,2.0,1204.0,3,6.333333333333332,1,16,1,-97.7113037109375,1,78751,1.98,2019-06-17,6,2019
11109,29406915,350000.0,2.0,1354.0,3,5.0,1,15,1,-97.69966888427734,1,78723,1.98,2019-01-11,1,2019
11110,29406410,849000.0,3.0,2259.0,3,6.333333333333332,1,16,1,-97.72230529785156,1,78751,1.98,2019-02-13,2,2019
11111,29409909,399000.0,3.0,1981.0,5,3.0,1,14,1,-97.6987075805664,1,78723,1.98,2019-01-18,1,2019
11112,29409409,385000.0,1.0,838.0,2,7.0,1,16,1,-97.72406005859376,1,78751,1.98,2019-09-03,9,2019
11113,241931907,575000.0,3.0,1762.0,3,7.0,2,16,1,-97.72370910644533,1,78751,1.98,2019-08-09,8,2019
11117,29406898,364000.0,2.0,1482.0,3,3.0,1,14,1,-97.69709777832033,1,78723,1.98,2019-04-12,4,2019
11126,29409383,419990.0,1.0,757.0,2,7.0,1,16,1,-97.72064208984376,1,78751,1.98,2019-06-20,6,2019
11127,29405383,373000.0,1.0,1034.0,2,6.333333333333332,1,16,1,-97.7130126953125,1,78751,1.98,2019-06-24,6,2019
11129,29406878,390000.0,2.0,1585.0,3,3.0,1,14,1,-97.698486328125,1,78723,1.98,2019-04-12,4,2019
11132,29409375,415000.0,1.0,1006.0,2,7.0,1,16,1,-97.7229995727539,1,78751,1.98,2019-03-05,3,2019
11134,29409868,319500.0,1.0,1106.0,3,3.0,1,14,1,-97.69734954833984,1,78723,1.98,2019-02-15,2,2019
11139,29405355,395000.0,1.0,1540.0,3,6.333333333333332,1,16,1,-97.71441650390624,1,78751,1.98,2019-11-27,11,2019
11144,29409851,359400.0,2.0,1402.0,3,3.0,1,14,1,-97.6957550048828,1,78723,1.98,2019-05-08,5,2019
11145,29406345,434999.0,1.0,728.0,2,6.333333333333332,1,16,1,-97.72297668457033,1,78751,1.98,2019-06-20,6,2019
11152,29406839,360000.0,2.0,1326.0,3,5.0,1,15,1,-97.70108032226562,1,78723,1.98,2019-09-20,9,2019
11154,120788330,518000.0,3.0,1832.0,3,5.0,2,15,1,-97.7026138305664,1,78723,1.98,2019-03-20,3,2019
11157,63835829,800000.0,2.0,1842.0,2,7.333333333333332,1,15,1,-97.72091674804688,1,78751,1.98,2019-06-28,6,2019
11158,29409828,494950.0,2.0,1330.0,3,3.0,1,14,1,-97.695556640625,1,78723,1.98,2019-11-07,11,2019
11161,29405319,649000.0,4.0,2514.0,4,6.333333333333332,3,16,1,-97.71446990966795,1,78751,1.98,2019-11-01,11,2019
11162,29405314,214900.0,2.0,1444.0,3,6.333333333333332,1,16,1,-97.71387481689452,1,78751,1.98,2019-07-30,7,2019
11163,29409311,385000.0,2.0,1120.0,3,7.0,1,16,1,-97.7210922241211,1,78751,1.98,2019-02-19,2,2019
11164,29405311,219000.0,1.0,720.0,2,6.333333333333332,1,16,1,-97.71424865722656,1,78751,1.98,2019-02-28,2,2019
